column_name,data_type
id,uuid
created_at,timestamp with time zone
updated_at,timestamp with time zone
name,text
email,text
web_url,text
manual_input,text
scan_result,jsonb
payment_status,text
booking_id,uuid
booking_date,date
booking_time,text
status,text
workflow_status,text
access_token,text
access_expires_at,timestamp with time zone
short_code,text
client_name,text
project_name,text
last_contact_at,timestamp with time zone
access_type,text
outputs_activated,boolean
outputs_activated_at,timestamp with time zone
access_sent_at,timestamp with time zone
brief_submitted_at,timestamp with time zone
plan,text
interval_days,integer
next_generation_at,timestamp with time zone
google_drive_folder_id,text
stripe_customer_id,text
onboarding_completed,boolean
topics,ARRAY
rtg_activated_at,timestamp with time zone
